"","Date","Year","Month","Country","Reef_name","Site_name","Reef_zone","N","W","Data collector","Dive","Methodology","Transect","Microhabitat_No","Microhabitat_label","Field_component_ID","Group_Classification(ImageID)","Specific_group_description","Scientific_name","SubMH_Comp1","SubMH_Comp2","SubMH_Comp3","SubMH_Comp4","SubMH_Comp5","SubMH_Comp6","SubMH_Comp7","Fish_catched","Notes"
"1","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh001","2023.8_BLNQ001_Mh001","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"2","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh002","2023.8_BLNQ001_Mh002","Sponge","Sponge",NA,"Neopetrosia subtriangularis",NA,NA,NA,NA,NA,NA,NA,4,NA
"3","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh003","2023.8_BLNQ001_Mh003","Sand","Sand","Sand",NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"4","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh004","2023.8_BLNQ001_Mh004","Coral","Scleractinian coral","Boulder coral","Montastrea cavernosa",NA,NA,NA,NA,NA,NA,NA,2,NA
"5","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh005","2023.8_BLNQ001_Mh005","Sponge","Sponge","Vase sponge","Neofibularia nolitangere",NA,NA,NA,NA,NA,NA,NA,2,NA
"6","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh006","2023.8_BLNQ001_Mh006","Algae","Turf","Turf algae",NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"7","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Kyra Cipolla","D1","Roving Quadrant","Q","Mh007","2023.8_BLNQ001_Mh007","Coral","Scleractinian coral",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"8","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh009","2023.8_BLNQ001_Mh009","Sponge","Sponge","Vase sponge","Callyspongia vaginalis",NA,NA,NA,NA,NA,NA,NA,3,NA
"9","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh010","2023.8_BLNQ001_Mh010","Sponge","Sponge","Branching sponge","Axinella morchella",NA,NA,NA,NA,NA,NA,NA,3,NA
"10","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh011","2023.8_BLNQ001_Mh011","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"11","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh012","2023.8_BLNQ001_Mh012","Coral","Scleractinian coral","Boulder coral","Montastrea cavernosa",NA,NA,NA,NA,NA,NA,NA,3,NA
"12","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh013","2023.8_BLNQ001_Mh013","Death coral","Dead coral","Death coral",NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"13","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh014","2023.8_BLNQ001_Mh014","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,10,NA
"14","45160","2023",8,"Mexico","Blanquilla","BLNQ001","Back","19.222670000000001",-96.09687,"Mariana R-Higueras","D1","Roving Quadrant","Q","Mh015","2023.8_BLNQ001_Mh015","Coral","Scleractinian coral","Brain coral","Pseudodiploria strigosa",NA,NA,NA,NA,NA,NA,NA,7,NA
"15","45169","2023",8,"Mexico","Anegada de Adentro","Doce_metros","Back","19.22064",-96.05063,"Eloisa Torres","D1","Roving Quadrant","Q","Mh241","2023.8_Doce_metros_Mh241","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"16","45169","2023",8,"Mexico","Anegada de Adentro","Doce_metros","Back","19.22064",-96.05063,"Eloisa Torres","D1","Roving Quadrant","Q","Mh248","2023.8_Doce_metros_Mh248","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,6,NA
"17","45169","2023",8,"Mexico","Anegada de Adentro","Doce_metros","Back","19.22064",-96.05063,"Eloisa Torres","D1","Roving Quadrant","Q","Mh240","2023.8_Doce_metros_Mh240","Cave","Cave","Cave",NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"18","45169","2023",8,"Mexico","Anegada de Adentro","Doce_metros","Back","19.22064",-96.05063,"Eloisa Torres","D1","Roving Quadrant","Q","Mh247","2023.8_Doce_metros_Mh247","Sponge","Sponge",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
